features_id,bedrooms,bathrooms,squareFootage,features,lotSize
0,0.0,0.0,110000.0,"{'floorCount': 6, 'unitCount': 135}",23959.0
1,2.0,1.0,896.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Other', 'floorCount': 1, 'foundationType': 'Block', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 4, 'unitCount': 1}",16906.0
2,2.0,2.0,1559.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Wood', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Roll Composition', 'roomCount': 1, 'unitCount': 1}",3650.0
3,0.0,0.0,4052.0,"{'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'unitCount': 1}",0.0
4,3.0,3.0,2398.0,"{'architectureType': 'Colonial', 'cooling': True, 'coolingType': 'Commercial', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached Garage', 'heating': True, 'heatingType': 'Package', 'roomCount': 5, 'unitCount': 1}",75010.0
5,3.0,1.0,1520.0,"{'exteriorType': 'Shingle', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Footing', 'roofType': 'Metal', 'unitCount': 1}",87120.0
6,4.0,2.0,1290.0,"{'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'roomCount': 7, 'unitCount': 1}",7000.0
7,0.0,3.0,2181.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'foundationType': 'Footing', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'pool': True, 'poolType': 'Pool and Hot Tub / Spa', 'roofType': 'Composition Shingle', 'unitCount': 1, 'architectureType': 'Dome'}",7601.0
8,2.0,2.0,1116.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Basement', 'heating': True, 'heatingType': 'Heat Pump', 'roomCount': 5, 'unitCount': 1}",8370.0
9,2.0,1.5,1152.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Gas', 'roomCount': 5, 'unitCount': 1}",653.0
10,0.0,0.0,1108.0,"{'floorCount': 2, 'unitCount': 1}",5000.0
11,4.0,2.5,2698.0,"{'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'roomCount': 9, 'unitCount': 1}",4680.0
12,0.0,0.0,0.0,Unknown,0.0
13,4.0,3.0,2707.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Package', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}",10629.0
14,5.0,3.0,3607.0,"{'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 3, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Tile', 'unitCount': 1}",12632.0
15,3.0,1.0,1350.0,"{'architectureType': 'Ranch', 'exteriorType': 'Stucco', 'floorCount': 1, 'foundationType': 'Other', 'garage': True, 'garageSpaces': 2, 'garageType': 'Mixed', 'heating': True, 'heatingType': 'Hot Water', 'roofType': 'Composition Shingle', 'roomCount': 6, 'unitCount': 1}",10709.0
16,4.0,2.0,1926.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'fireplaceType': 'Gas Log', 'floorCount': 1, 'foundationType': 'Block', 'garage': True, 'garageSpaces': 2, 'garageType': 'Basement', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt'}",23261.0
17,3.0,2.0,1146.0,Unknown,0.0
18,3.0,2.0,2020.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 6, 'unitCount': 1}",7009.0
19,4.0,1.0,2836.0,Unknown,2221560.0
20,3.0,2.0,1816.0,"{'architectureType': 'A-Frame', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Vinyl', 'floorCount': 2, 'foundationType': 'Stone', 'garage': True, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Hot Water', 'roofType': 'Asphalt', 'roomCount': 10}",9750.0
21,2.0,3.5,2519.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Masonry', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Metal', 'roomCount': 6}",20038.0
22,1.0,1.0,0.0,Unknown,0.0
23,2.0,1.5,1334.0,"{'architectureType': 'Ranch', 'fireplace': True, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air'}",262449.0
24,0.0,1.0,3637.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Brick', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'unitCount': 1}",23348.0
25,0.0,0.0,2310.0,"{'exteriorType': 'Wood', 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Detached', 'unitCount': 1}",10498.0
26,3.0,2.0,2296.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Other', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 6, 'unitCount': 1}",13504.0
27,3.0,1.5,1394.0,Unknown,7841.0
28,3.0,1.5,1150.0,"{'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'unitCount': 1}",5686.0
29,1.0,1.0,719.0,Unknown,0.0
30,6.0,4.5,2764.0,Unknown,328442.0
31,2.0,2.0,1023.0,"{'architectureType': 'Condo / Apartment', 'unitCount': 1}",43560.0
32,3.0,2.0,1973.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'fireplaceType': '2 Story', 'foundationType': 'Wood', 'heating': True, 'heatingType': 'Forced Air'}",17424.0
33,3.0,2.0,1232.0,"{'cooling': True, 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Footing', 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Heat Pump', 'unitCount': 1, 'coolingType': 'Commercial'}",23958.0
34,4.0,2.0,1950.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'foundationType': 'Raised', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'roomCount': 6, 'pool': True}",19166.0
35,3.0,2.0,1290.0,"{'architectureType': 'Single Story', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Built-up (Layered Asphalt)', 'roomCount': 5, 'unitCount': 1}",5663.0
36,4.0,2.5,2222.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Gas', 'roomCount': 8, 'unitCount': 1}",12110.0
37,3.0,2.5,1791.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'fireplaceType': 'Masonry', 'floorCount': 2, 'foundationType': 'Concrete', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'unitCount': 1, 'architectureType': 'Traditional'}",10454.0
38,3.0,2.0,1482.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Commercial', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Garage', 'heating': True, 'roomCount': 6, 'unitCount': 1}",936.0
39,4.0,2.0,2325.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'pool': True, 'roofType': 'Tile'}",7405.0
40,3.0,2.0,1746.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'fireplaceType': 'Masonry', 'floorCount': 1, 'foundationType': 'Concrete', 'garage': True, 'garageSpaces': 2, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'roomCount': 5, 'unitCount': 1, 'architectureType': 'Ranch'}",20909.0
41,3.0,2.5,1484.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Detached', 'roofType': 'Shingle', 'unitCount': 1}",3128.0
42,0.0,2.0,2064.0,"{'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 3, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'unitCount': 1, 'architectureType': 'Duplex'}",4792.0
43,3.0,1.0,1423.0,"{'exteriorType': 'Other', 'floorCount': 2, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Shingle', 'roomCount': 9, 'unitCount': 1, 'architectureType': 'Traditional'}",22777.0
