id,location_id,sales_id,features_id,propertyType,yearBuilt,assessorID,legalDescription,subdivision,zoning,hoa,propertyTaxes,ownerOccupied
"7035-Broadway,-Apt-C9,-Jackson-Heights,-NY-11372",0,0,0,Apartment,1927.0,01282-0175C9,LOT:175 BLK:1282,Unknown,R6,Unknown,"{'2019': {'year': 2019, 'total': 316873}}",1.0
"2726-N-79th-St,-Omaha,-NE-68134",1,0,1,Single Family,1952.0,0633290002,BENSON GARDENS LOT 155 BLOCK 0 N 157.5 FT 107 X 157.5 FT,BENSON GARDENS,Unknown,Unknown,"{'2023': {'year': 2023, 'total': 3146}}",1.0
"635-W-Redondo-Pl,-Green-Valley,-AZ-85614",2,1,2,Condo,1978.0,304-26-7190,CONTINENTAL VISTAS RESUB TOWNHOUSES LOT 230,CONTINENTAL VISTAS RESUB TOWNHOUSES,Unknown,{'fee': 31},"{'2022': {'year': 2022, 'total': 1229}, '2024': {'year': 2024, 'total': 1390}}",0.0
"3300-44th-Street-Ct,-Moline,-IL-61265",3,2,3,Single Family,1993.0,17-10-221-014,LOT 4 HICKORY WOODS AND N 10 FT LOT 5,HICKORY WOODS,MOL,Unknown,"{'2022': {'year': 2022, 'total': 11386}}",1.0
"8-Ritten-Ct,-Durham,-NC-27712",4,3,4,Single Family,1992.0,184607,HEATHER GLEN/SEC:07/LT#51,HEATHER GLEN SEC 7,RR,Unknown,"{'2020': {'year': 2020, 'total': 2514}}",1.0
"460-Blalock-Rd,-Canton,-GA-30115",5,0,5,Single Family,1890.0,15N21 037,LL 527-554 DIST. 15 BLALOCK RD,Unknown,AG,Unknown,"{'2021': {'year': 2021, 'total': 1830}, '2022': {'year': 2022, 'total': 2196}}",1.0
"2225-Quinn-Ave,-Santa-Clara,-CA-95051",6,4,6,Single Family,1962.0,216-11-024,TR 3092 LOT 33,Unknown,R1,Unknown,"{'2023': {'year': 2023, 'total': 9341}, '2024': {'year': 2024, 'total': 9436}}",1.0
"7812-Causeway-Blvd-S,-Saint-Petersburg,-FL-33707",7,0,7,Single Family,1960.0,24-31-15-83988-004-0050,"SOUTH CAUSEWAY ISLE SUB BLK 4, LOT 5 & RIP RTS",SOUTH CAUSEWAY ISLE SUB,Unknown,Unknown,"{'2021': {'year': 2021, 'total': 14801}, '2022': {'year': 2022, 'total': 17424}, '2023': {'year': 2023, 'total': 18293}, '2024': {'year': 2024, 'total': 19478}}",0.0
"3381-Emerson-St-SE,-Smyrna,-GA-30082",8,5,8,Single Family,1964.0,17034000210,DIST:9 CITY/MUNI/TWP:UNINCORPORATED SUBD:CONCORD PARK,CONCORD PARK,Unknown,Unknown,"{'2022': {'year': 2022, 'total': 2940}, '2023': {'year': 2023, 'total': 3488}}",1.0
"2724-Petzinger-Rd,-Columbus,-OH-43209",9,0,9,Condo,1979.0,010-182545,PLYMOUTH PLACE CONDO UNIT 2724 BLDG 13,PLYMOUTH PLACE,Unknown,Unknown,"{'2022': {'year': 2022, 'total': 934}, '2023': {'year': 2023, 'total': 1337}}",0.0
"85-264th-St,---13,-Long-Island-City,-NY-11101",10,0,10,Single Family,1955.0,088090015,Unknown,Unknown,R2A,Unknown,"{'2017': {'year': 2017, 'total': 2693}}",0.0
